Altium Designer Pick and Place Locations
C:\Users\asterix\Documents\github\dbhome-sch\Assembly\display\Pick Place for display.txt

========================================================================================================================
File Design Information:

Date:       15-05-18
Time:       23:51
Revision:   173dcaec4a5111523345904c94885387ae19205f
Variant:    No variations
Units used: mm

Designator   Comment                          Layer       Footprint                           Center-X(mm) Center-Y(mm) Rotation Description                                                                                
U19          "PCB Inverted F antenna"         TopLayer    ANTENNA_PCB_IFA                     8.2000       46.1000      90       ""                                                                                         
Designator10 Comment                          BottomLayer DB_HOME                             -336.7008    -220.6408    180      ""                                                                                         
Designator20 Comment                          BottomLayer db_firma                            -336.7008    -220.6408    180      ""                                                                                         
Designator2  Comment                          TopLayer    db_firma                            -336.7008    -220.6408    0        ""                                                                                         
Designator1  Comment                          TopLayer    DB_HOME                             -336.7008    -220.6408    0        ""                                                                                         
S3           Rotary-push-button-481RV12172100 BottomLayer Rotary-push-button-481RV12172100    138.0000     13.0000      270      "WS-RPTL 20x20 mm illuminated THT Rotary Push button Switch"                               
J8           SUPPLY                           TopLayer    CON_3P_WAGO_3.5mm                   114.2500     32.5000      270      "Terminal Block, 3.5mm, 3p"                                                                
R27          10M                              TopLayer    1206_[3216]                         127.5000     2.7500       270      Resistor                                                                                   
L7           "220 ohm @ 100MHz"               TopLayer    0805_[2012]                         1.7500       16.7500      180      "WE 742792022"                                                                             
L6           "220 ohm @ 100MHz"               TopLayer    0805_[2012]                         1.7500       69.0000      180      "WE 742792022"                                                                             
C89          "10nF X/Y 2kV"                   TopLayer    2220_[5650]                         146.2500     11.0000      180      "Ceramic 250VAC X7R X1/Y1 (GA355DR7GB103KY02L)"                                            
C88          "1nF X/Y 2kV"                    TopLayer    1808_[4520]                         130.2500     3.7500       90       "Ceramic 250VAC X7R X1/Y1 (GA342DR7GF102KW)"                                               
C69          "Cap X/Y 2kV"                    TopLayer    1808_[4520]                         146.2500     20.0000      180      "Ceramic 1nF 1808 250VAC X7R X1/Y1 (Murata GA342DR7GF102KW)"                               
C65          "Cap X/Y 2kV"                    TopLayer    1808_[4520]                         146.2500     17.0150      360      "Ceramic 1nF 1808 250VAC X7R X1/Y1 (Murata GA342DR7GF102KW)"                               
R26          NP                               TopLayer    0402_[1005]                         8.3500       46.6000      270      Resistor                                                                                   
