Altium Designer Pick and Place Locations
C:\Users\Asterix\Documents\github\dbhome-sch\Assembly\relay_ac\easyeda-pick-and-place.csv

========================================================================================================================
File Design Information:

Date:       18-07-20
Time:       17:09
Revision:   8f7b56ab5b74c791d65a90520a6ae51a543fc40f
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"C12","2.2498mm","28.0000mm","TopLayer","180"
"U4","48.1500mm","37.3250mm","TopLayer","180"
"U1","10.1500mm","37.3250mm","TopLayer","180"
"R34","34.7432mm","16.7432mm","TopLayer","180"
"R33","34.7432mm","19.4932mm","TopLayer","180"
"R32","34.7500mm","14.5000mm","TopLayer","180"
"R31","34.7500mm","11.7500mm","TopLayer","180"
"R12","26.4432mm","17.0500mm","TopLayer","180"
"R10","44.6500mm","60.9000mm","TopLayer","180"
"R4","6.6500mm","60.9000mm","TopLayer","180"
"J2","62.4002mm","65.8250mm","TopLayer","180"
"J1","24.4002mm","65.8250mm","TopLayer","180"
"C2","46.6500mm","55.5750mm","TopLayer","180"
"C1","8.6500mm","55.5750mm","TopLayer","180"
"U6","18.3900mm","16.1800mm","TopLayer","270"
"U3","19.7500mm","17.2500mm","TopLayer","270"
"R38","37.2432mm","16.2432mm","TopLayer","270"
"R36","37.2432mm","18.9932mm","TopLayer","270"
"R30","37.2500mm","14.0000mm","TopLayer","270"
"R28","36.2500mm","11.2500mm","TopLayer","270"
"R26","12.0000mm","25.2500mm","TopLayer","270"
"R25","14.7500mm","7.2500mm","TopLayer","270"
"R24","14.5000mm","25.2500mm","TopLayer","270"
"R23","17.0000mm","7.2500mm","TopLayer","270"
"R22","17.0000mm","25.2500mm","TopLayer","270"
"R21","19.7500mm","7.2500mm","TopLayer","270"
"R20","19.7500mm","25.2500mm","TopLayer","270"
"R19","22.2500mm","7.2500mm","TopLayer","270"
"R18","22.2500mm","25.2500mm","TopLayer","270"
"R17","24.7500mm","7.5000mm","TopLayer","270"
"R16","24.7500mm","25.2500mm","TopLayer","270"
"R15","27.2500mm","7.5000mm","TopLayer","270"
"R11","50.7000mm","48.0750mm","TopLayer","270"
"R9","41.6500mm","48.0750mm","TopLayer","270"
"R8","18.7500mm","23.0000mm","TopLayer","270"
"R7","45.6100mm","30.0000mm","TopLayer","270"
"R6","12.7000mm","48.0750mm","TopLayer","270"
"R3","3.6500mm","48.0750mm","TopLayer","270"
"R1","7.6100mm","29.7500mm","TopLayer","270"
"C8","31.0000mm","20.0000mm","TopLayer","270"
"C5","61.9000mm","11.5000mm","TopLayer","270"
"C4","60.4000mm","11.5000mm","TopLayer","270"
"R40","38.7321mm","20.4242mm","TopLayer","360"
"R39","38.7395mm","17.6729mm","TopLayer","360"
"C11","72.5002mm","15.7500mm","TopLayer","360"
"VR2","62.1500mm","55.8250mm","TopLayer","360"
"VR1","24.1500mm","55.8250mm","TopLayer","360"
"U5","64.7375mm","46.5750mm","TopLayer","360"
"U2","26.7375mm","46.5750mm","TopLayer","360"
"R37","38.7432mm","16.7432mm","TopLayer","360"
"R35","38.7432mm","19.4932mm","TopLayer","360"
"R29","38.7500mm","14.5000mm","TopLayer","360"
"R27","38.7500mm","11.7500mm","TopLayer","360"
"J3","45.2500mm","15.7500mm","TopLayer","90"
"U7","31.0000mm","15.2500mm","TopLayer","90"
"R14","19.7500mm","9.5000mm","TopLayer","90"
"R13","22.2500mm","9.5000mm","TopLayer","90"
"R5","19.7500mm","23.0000mm","TopLayer","90"
"R2","22.2500mm","23.0000mm","TopLayer","90"
"C10","36.2432mm","16.2432mm","TopLayer","90"
"C9","36.2432mm","18.9932mm","TopLayer","90"
"C7","36.2500mm","14.0000mm","TopLayer","90"
"C6","37.2500mm","11.2500mm","TopLayer","90"
"C3","14.0040mm","19.6500mm","TopLayer","90"
